Year,Duration,Genre,Rating,Votes,Director
2019,109.0,Drama,7.0,8,Gaurav Bakshi
2021,90.0,"Drama, Musical",6.7,110,Soumyajit Majumdar
2019,110.0,"Comedy, Romance",4.4,35,Ovais Khan
2010,105.0,Drama,6.5,24,Amol Palekar
1997,147.0,"Comedy, Drama, Musical",4.7,827,Rahul Rawail
2005,142.0,"Drama, Romance, War",7.4,1086,Shoojit Sircar
2008,59.0,Documentary,7.65,34,Anirban Datta
2012,82.0,"Horror, Mystery, Thriller",5.6,326,Allyson Patel
2014,116.0,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair
2004,96.0,Drama,6.2,17,Madhu Ambat
2016,120.0,Horror,5.9,59,Arshad Siddiqui
1991,161.0,"Horror, Romance, Thriller",6.5,983,Partho Ghosh
2012,166.0,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi
1990,108.0,Thriller,5.5,22,Harish
2018,102.0,"Comedy, Drama",7.4,6619,Umesh Shukla
1987,134.0,"Comedy, Drama, Fantasy",6.25,987,Rajpati
2010,87.0,"Comedy, Drama, Romance",6.3,162,Sharat Katariya
2021,132.5,"Comedy, Drama, Family",6.3,314,Jagat Joon
1958,132.0,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty
2021,105.0,"Horror, Thriller",4.4,63,Ram Gopal Varma
2019,137.0,Biography,6.3,11,Sohail Tatari
2021,76.0,Documentary,7.65,34,Varrun Sukhraj
2017,116.0,"Comedy, Horror",6.6,26,Seshu Kmr
2010,133.0,Action,5.1,16,N.K. Pareek
2020,66.0,Drama,6.5,24,Rahul Tiwari
2009,146.0,"Drama, Horror, Mystery",7.3,6329,Vikram K. Kumar
2021,124.0,Comedy,5.9,41,Devanshu Singh
2005,116.0,Drama,7.1,1002,Aparna Sen
1993,168.0,Drama,5.6,15,Vicky Ranawat
2002,158.0,"Action, Thriller",6.9,1235,Mani Shankar
2014,126.0,Action,3.5,10,Mohibul Haque
1946,124.0,"Drama, History",5.0,8,Mohan Sinha
2004,94.0,Drama,4.5,16,Sridhar Reddy
2019,151.0,"Drama, History, Sport",7.3,11932,Nikkhil Advani
2008,138.0,"Horror, Mystery, Romance",6.4,3100,Vikram Bhatt
2016,120.0,"Horror, Mystery",4.1,1559,Dharmendra Suresh Desai
2012,124.0,"Drama, Horror, Romance",4.8,1811,Bhushan Patel
2018,144.0,"Horror, Mystery, Romance",4.5,1069,Vikram Bhatt
1994,157.0,"Action, Drama, History",7.2,3223,Vidhu Vinod Chopra
2007,136.0,"Action, Drama, War",8.1,1892,Amrit Sagar
2019,107.0,Thriller,4.0,20,Aziz Zee
2017,113.0,Comedy,5.5,106,Prashant Gore
2014,121.0,Drama,7.3,16,Sanjay Amar
2019,124.0,Comedy,5.9,41,Saki Shah
2019,121.0,Drama,6.5,24,Unknown
2013,128.0,"Comedy, Family",5.6,14,Ravi Bhatia
2012,80.0,"Adventure, Horror, Mystery",6.8,21,Harish Sharma
2003,122.0,"Action, Crime, Thriller",5.0,33,Sunil Tiwari
2005,121.0,Drama,6.5,24,Kishan Shah
2014,149.0,"Comedy, Drama, Romance",6.9,24034,Abhishek Varman
2018,148.0,"Action, Sci-Fi",6.2,21938,S. Shankar
1998,149.0,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy
2018,121.0,Drama,6.5,24,Aryeman Ramsay
2018,121.0,Drama,6.5,24,Partha Sarkar
2017,130.0,Comedy,6.1,94,Jaideep Chopra
2019,134.0,War,3.5,52,Rajkumar Santoshi
2018,124.0,Thriller,6.1,8,Shivam Tiwari
1979,121.0,"Drama, History",7.7,52,Jayoo Patwardhan
2019,126.0,Sport,6.1,361,Mitali Ghoshal
2002,188.0,"Biography, Drama, History",5.1,642,Guddu Dhanoa
1998,108.0,Thriller,5.5,22,Tinnu Anand
1956,121.0,Drama,6.5,24,Ramesh Saigal
2008,121.0,Drama,3.1,32,Mohan Sharma
1974,115.0,Drama,6.9,194,Awtar Krishna Kaul
2014,103.0,"Horror, Romance",5.0,514,Vishal Mahadkar
2012,114.0,"Comedy, Romance",3.3,165,Ajai Sinha
2020,124.0,Comedy,5.9,41,Abhishek Dogra
2003,115.0,"Crime, Drama",7.8,2322,Nagesh Kukunoor
2019,122.0,Comedy,6.9,35,Ankush Bhatt
2009,170.0,"Comedy, Drama",8.4,357889,Rajkumar Hirani
2009,137.0,"Drama, Romance",5.2,23,Devang Dholakia
2020,124.0,Comedy,5.9,41,Anees Barudwale
2018,100.0,Drama,6.9,358,Arjun Mukerjee
2015,99.0,"Adventure, Drama",4.3,6,Divakar Ghodake
2004,109.0,Horror,5.0,14,Ravi Sinha
2016,108.0,Thriller,4.8,26,Yesudas
2015,109.0,"Action, Drama, History",5.8,238,Shivaji Lotan Patil
2009,108.0,Thriller,4.6,9,Suryaprakash Lakkoju
2006,140.0,"Comedy, Mystery, Thriller",5.7,4373,Abbas Alibhai Burmawalla
1981,122.0,"Drama, Romance",7.5,392,Aparna Sen
1974,142.0,"Action, Crime, Drama",6.7,128,Raj Tilak
2020,128.0,"Crime, Thriller",5.7,252,Gunveen Kaur
2019,93.0,Drama,5.6,93,Faruk Kabir
1985,102.0,Horror,5.6,80,Shyam Ramsay
2013,125.0,"Horror, Sci-Fi, Thriller",3.6,1128,Sheershak Anand
2019,145.0,Horror,6.3,6,Sanjay Niranjan
2016,109.0,Horror,4.7,18,Vasant Narkar
2019,96.0,"Crime, Drama, Thriller",6.3,460,Neeraj Gwal
2011,121.0,"Drama, Mystery, Thriller",7.3,2548,Prawaal Raman
2016,75.0,Drama,4.8,9,Mainak Dhar
2009,130.5,"Drama, Sport",3.9,14,Nisha Chainani
2012,113.0,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi
2011,115.0,Sport,5.8,572,Shine Krishna
2012,111.0,Thriller,5.7,75,Faisal Saif
1974,134.0,"Action, Comedy",6.5,36,I.S. Johar
2001,133.0,Action,5.1,16,Hemant Birje
2007,135.0,"Comedy, Thriller",6.5,82,Chandra Sekhar Yeleti
2002,108.0,Thriller,5.5,22,Tinnu Anand
2011,110.0,"Action, Adventure, Fantasy",4.6,19,G. Venugopal
2020,85.0,Documentary,7.65,34,Kovid Mittal
2002,108.0,Thriller,5.5,22,Hemant Birje
2014,104.0,Horror,4.2,171,Bharat Jain
2007,92.0,Drama,6.2,31,Sridhar Rangayan
2011,96.0,Comedy,5.9,41,Amit r Agarwal
2019,135.0,"Drama, Romance, Thriller",5.25,285,Samir Khan
2005,136.0,"Comedy, Drama",5.3,281,Ishaan Trivedi
1988,126.0,Action,5.0,7,Raju Saigal
1995,146.0,"Action, Drama",3.4,10,Sunil Kumar
2016,115.0,"Crime, Thriller",5.7,398,Saurabh Varma
2006,100.0,Documentary,6.2,10,Dutta Madhusree
2011,137.0,"Drama, Mystery, Thriller",6.1,5640,Vishal Bhardwaj
1987,127.0,"Drama, Horror, Musical",4.1,34,S.U. Syed
2019,120.0,Thriller,5.3,449,Shravankumar Tiwari
2019,130.0,"Action, Biography, Drama",5.3,249,Avinash Dhyani
2019,136.0,"Adventure, Comedy, Drama",6.15,645,Kiranraj K
2018,125.0,Horror,4.7,18,Ajay Arak
2008,113.0,Mystery,5.85,15,Sunil Bhojwani
2009,122.0,"Action, Fantasy, Mystery",5.4,5459,Nagesh Kukunoor
2021,115.0,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar
2021,150.0,"Biography, Drama, History",6.8,344,Kabir Khan
2003,119.0,"Mystery, Thriller",4.7,66,Kushan Nandy
2017,124.0,Action,5.3,9,Amrit Raj Thakur
